Journal,Journal Type,Year,Authors,Title,DOI/web address,Region of study,Period of study,Type of article,Sub-type of article,Data location,"Raw data in reuseable format (supp mat as excel or csv, or in reprository)",Phyto pictures present,OA,Open Journal,Other open access,Used ICPN 1.0,Full methods given,other details
Vegetation History and Archaeobotany,Archaeobotany,2018,Gao et al.,Do soil phytoliths represent plant communities in a temperate region? A case study of Northeast China.,https://doi.org/10.1007/s00334-018-0670-2,China,,Methodological,MRS/MRP,Graph,N,Y,N,N,Research gate,Y,Y,"Stratigraphic graphs, discriminant analysis plots, supplementary data file doc of List of soil and plant community samples examined in this study."
Vegetation History and Archaeobotany,Archaeobotany,2018,Sgishlina et al.,"Plant food subsistence in the human diet of the bronze Age Caspian and Low Don steppe pastoralists archaebotanical, isotope and 14C data.",https://doi.org/10.1007/s00334-018-0676-9,Russia,Bronze Age,Archaeological,,Table,N,Y,N,N,Research gate,N,Y,"Table with a few named phytolith plant groups, no raw data"
Vegetation History and Archaeobotany,Archaeobotany,2018,Astudillo,"Environmental and historical archaeology of the Galapagos islands:archaeobotany of Hacienda El Progreso, 1870-1920.",https://doi.org/10.1007/s00334-018-0668-9,Ecuador,Historical (1870-1920),Archaeological,,Table,N,Y,N,N,Research gate,Y,Y,"Table with some numbers of selected morphotypes and stratigraphic graphs per sample. Supplementary material has phyto extraction protocol, phyto pictures and data on silica quantities of sediments samples."
Vegetation History and Archaeobotany,Archaeobotany,2018,McPartland and Hegman,Cannabis utilization and diffusion patterns in prehistoric Europe: a critical analysis of archaeological evidence.,https://doi.org/10.1007/s00334-017-0646-7,Europe,Prehistory,Archaeological,,Table,N,Y,N,N,Research gate,N,N,Table in supplementary material but pdf.
Vegetation History and Archaeobotany,Archaeobotany,2018,Lopez,"Archaeobotany in central Argentina: macro- and microscopic remains at several archaeological sites from early Late Holocene to ealry colonial times (3,000 2500BP).",https://doi.org/10.1007/s00334-017-0627-x,Argentina,3000-250BP,Archaeological,,N,N,Y,N,N,N - had to request,N,N,This is a combined archbot paper - phyto paper published elsewhere. No microbot data presented at all.
Vegetation History and Archaeobotany,Archaeobotany,2017,Zhang et al.,Cultivation strategies at the ancient Luanzagangzi settlement on the easternmost Eurasian steppe during the late Bronze Age.,https://doi.org/10.1007/s00334-017-0608-0,China,Late Bronze Age,Archaeological,,.xlsx,Y,Y,N,N,N - had to request,N,N,"Stratigraphic graphs and phyto pictures in the text, raw data excel file."
Vegetation History and Archaeobotany,Archaeobotany,2017,Ball et al.,A morphometric study of variance in articulated dendritic phytolith wave lobes within selected species of Triticeae and Aveneae.,https://doi.org/10.1007/s00334-015-0551-x,,,Methodological,M,.xlsx,Y,Y,N,N,N - had to request,N,Y,"Supp data - raw data and tables of mean, ranges. All supp data open."
Vegetation History and Archaeobotany,Archaeobotany,2017,Dal Corso et al.,"Bronze Age crop processing evidence in the phytolith assemblages from the ditch and fen around Fondo Paviani, northern Italy.",https://doi.org/10.1007/s00334-016-0573-z,Italy,Bronze Age,Archaeological,,pdf,N,Y,N,N,Research gate,Y,Y,"Supp data does contain, processing method, the raw data table but as a pdf, also picture and strat graphs in text."
Vegetation History and Archaeobotany,Archaeobotany,2017,Bates et al.,Exploring Indus crop processing: combining phytolith and macrobotanical analyses to consider the organisation of agriculture in northwest India c.3200-1500 BC.,https://doi.org/10.1007/s00334-016-0576-9,India,3200-1500BC,Archaeological,,.docx,N,Y,Y,N,N/A,Y,Y,"Supp data contains raw data as table on a word file, photos of phytoliths, and graphs in text"
Vegetation History and Archaeobotany,Archaeobotany,2017,Peto et al.,"The first archaeobotanical evidence of Lagenaria siceraria from the territory of Hungary: histology, phytoliths and (a) DNA.",https://doi.org/10.1007/s00334-016-0566-y,Hungary,Late middle ages (14th-15th C),Archaeological,,Table,N,Y,N,N,N - had to request,Y,Y,Table of morphometric measurements but no raw data of phytolith counts.
